Demand category,Demand FIPS,Corn FIPS, Corn (bu) , GHG (kg CO2e) , Irrigation (m3) ,Transport mode, Distance (miles) 
cattle,4013,31029," 2,768,337 "," 27,510,901 "," 37,829,578 ",rail," 1,377 "
cattle,4017,4017," 18,974 "," 180,009 "," 89,314 ",truck, 51 
cattle,4017,31029," 912,992 "," 9,073,042 "," 12,476,122 ",rail," 1,092 "
cattle,4021,4009," 1,009,444 "," 8,445,080 "," 22,373,100 ",truck, 139 
cattle,4021,20201," 1,404,869 "," 22,010,189 "," 3,047,820 ",rail," 1,364 "
cattle,4021,31057," 5,989,164 "," 65,247,939 "," 86,789,487 ",rail," 1,310 "
cattle,4027,31133," 1,684,727 "," 27,530,675 "," 1,546,258 ",rail," 1,534 "
cattle,5047,31127," 5,190 "," 69,462 "," 5,784 ",rail, 482 
cattle,5061,27067," 2,816 "," 14,887 "," 1,299 ",rail," 1,012 "
cattle,5071,31127," 2,137 "," 28,606 "," 2,382 ",rail, 523 
cattle,5081,5081," 2,331 "," 17,473 "," 24,574 ",truck, 12 
cattle,5087,20037," 3,572 "," 83,399 "," 1,644 ",truck, 147 
cattle,6005,6005," 28,929 "," 189,656 "," 53,154 ",truck, 13 
cattle,6005,38051," 67,402 "," 947,995 ", -   ,rail," 2,006 "
cattle,6007,6101," 92,592 "," 1,090,945 "," 3,822,782 ",truck, 49 
cattle,6009,38047," 94,677 "," 1,520,211 ", -   ,rail," 2,001 "
cattle,6019,31047," 631,312 "," 5,527,646 "," 7,748,054 ",rail," 1,626 "
cattle,6019,31073," 1,278,089 "," 13,161,860 "," 13,688,018 ",rail," 1,648 "
cattle,6023,6045," 4,711 "," 30,850 "," 8,657 ",truck, 152 
cattle,6025,38045," 2,246,510 "," 22,760,689 "," 651,070 ",rail," 2,208 "
cattle,6025,38093," 15,068,117 "," 150,396,649 "," 3,068,805 ",rail," 2,164 "
cattle,6029,6029," 713,864 "," 10,172,251 "," 30,710,960 ",truck, 47 
cattle,6029,8085," 307,930 "," 2,691,479 "," 5,160,781 ",rail," 1,119 "
cattle,6029,31073," 392,020 "," 4,037,046 "," 4,198,431 ",rail," 1,640 "
cattle,6031,38003," 1,676,246 "," 15,532,667 "," 148,311 ",rail," 2,311 "
cattle,6033,6011," 21,994 "," 249,995 "," 881,238 ",truck, 48 
cattle,6035,38049," 272,478 "," 3,529,174 ", -   ,rail," 1,703 "
cattle,6039,38069," 5,674 "," 74,666 "," 1,336 ",rail," 2,058 "
cattle,6045,38029," 113,975 "," 1,645,162 "," 38,843 ",rail," 2,108 "
cattle,6047,38003," 9,727 "," 90,132 ", 861 ,rail," 2,209 "
cattle,6053,6053," 31,616 "," 211,606 "," 58,090 ",truck, 32 
cattle,6053,38051," 351,565 "," 4,944,682 ", -   ,rail," 2,160 "
cattle,6065,38045," 226,666 "," 2,296,484 "," 65,691 ",rail," 2,102 "
cattle,6071,38047," 39,464 "," 633,671 ", -   ,rail," 1,968 "
cattle,6079,6079," 19,758 "," 297,439 "," 846,537 ",truck, 31 
cattle,6087,38029," 15,198 "," 219,376 "," 5,180 ",rail," 2,106 "
cattle,6093,38003," 71,685 "," 664,253 "," 6,343 ",rail," 1,845 "
cattle,6095,6095," 330,760 "," 3,755,414 "," 12,009,600 ",truck, 16 
cattle,6099,46007," 106,590 "," 2,331,290 "," 1,045,462 ",rail," 1,603 "
cattle,6103,27119," 374,540 "," 2,575,342 "," 8,869 ",rail," 1,956 "
cattle,6107,31101," 38,451 "," 432,492 "," 507,331 ",rail," 1,572 "
cattle,6113,6113," 96,462 "," 1,171,143 "," 3,799,503 ",truck, 17 
cattle,8001,8001," 14,482 "," 384,281 "," 212,581 ",truck, 18 
cattle,8009,8009," 909,939 "," 13,083,117 "," 22,543,098 ",truck, 26 
cattle,8011,8011," 149,230 "," 1,725,252 ", -   ,truck, 20 
cattle,8011,8017," 594,216 "," 9,047,634 "," 11,432,101 ",truck, 84 
cattle,8013,8013," 203,254 "," 1,811,630 "," 2,484,680 ",truck, 14 
cattle,8013,8014," 11,640 "," 167,528 "," 276,797 ",truck, 18 
cattle,8017,8063," 39,116 "," 635,883 "," 992,701 ",truck, 64 
cattle,8025,8073," 385,428 "," 17,093,863 "," 3,895,352 ",truck, 77 
cattle,8025,46119," 1,567,815 "," 22,536,360 "," 5,871,368 ",rail, 799 
cattle,8029,8029," 28,292 "," 256,461 "," 410,539 ",truck, 17 
cattle,8039,8039," 9,406 "," 614,827 ", -   ,truck, 22 
cattle,8041,46069," 493,973 "," 6,576,362 "," 97,715 ",rail, 722 
cattle,8043,8101," 248,062 "," 2,333,587 "," 5,051,289 ",truck, 46 
cattle,8045,8077," 399,034 "," 4,024,051 "," 7,354,423 ",truck, 68 
cattle,8049,31029," 269,732 "," 2,680,518 "," 3,685,915 ",rail, 398 
cattle,8051,8085," 380,538 "," 3,326,113 "," 6,377,662 ",truck, 93 
cattle,8057,31105," 502,992 "," 7,661,540 "," 7,073,846 ",truck, 183 
cattle,8057,56001," 23,374 "," 222,706 "," 64,572 ",truck, 86 
cattle,8061,8017," 375,429 "," 5,716,341 "," 7,222,859 ",truck, 44 
cattle,8063,8063," 8,211,914 "," 133,494,104 "," 208,402,707 ",truck, 24 
cattle,8067,8067," 50,079 "," 587,651 "," 180,976 ",truck, 21 
cattle,8067,8085," 143,867 "," 1,257,481 "," 2,411,159 ",truck, 139 
cattle,8067,35045," 255,122 "," 1,510,415 "," 426,729 ",truck, 69 
cattle,8069,31105," 7,241 "," 110,295 "," 101,834 ",truck, 115 
cattle,8071,35033," 268,986 "," 1,572,599 "," 449,919 ",truck, 114 
cattle,8071,35059," 82,692 "," 983,680 "," 3,206,903 ",truck, 101 
cattle,8071,46069," 558,869 "," 7,440,340 "," 110,552 ",rail, 858 
cattle,8073,8063," 48,373 "," 786,359 "," 1,227,614 ",truck, 78 
cattle,8075,8095," 9,014,920 "," 111,231,756 "," 154,077,498 ",truck, 47 
cattle,8077,8029," 4,778 "," 43,307 "," 69,326 ",truck, 53 
cattle,8081,46065," 591,955 "," 8,867,706 "," 1,639,079 ",rail, 873 
cattle,8083,8033," 85,138 "," 999,034 "," 307,668 ",truck, 44 
cattle,8083,8083," 85,138 "," 955,046 ", -   ,truck, 23 
cattle,8083,35045," 66,588 "," 394,228 "," 111,379 ",truck, 87 
cattle,8085,8085," 245,224 "," 2,143,398 "," 4,109,863 ",truck, 24 
cattle,8087,8075," 1,587,451 "," 19,231,987 "," 29,919,834 ",truck, 49 
cattle,8087,8121," 3,013,397 "," 43,134,094 "," 58,305,142 ",truck, 45 
cattle,8087,8125," 2,787,979 "," 24,702,345 "," 50,330,305 ",truck, 81 
cattle,8089,8089," 740,829 "," 10,172,471 "," 21,860,538 ",truck, 18 
cattle,8089,46069," 216,323 "," 2,879,954 "," 42,792 ",rail, 816 
cattle,8089,46119," 1,717,770 "," 24,691,872 "," 6,432,941 ",rail, 803 
cattle,8093,8041," 96,820 "," 1,237,065 "," 2,829,484 ",truck, 81 
cattle,8093,8059," 49,485 "," 580,655 "," 178,829 ",truck, 100 
cattle,8093,8085," 18,338 "," 160,283 "," 307,336 ",truck, 207 
cattle,8095,31029," 1,256,504 "," 12,486,755 "," 17,170,236 ",truck, 42 
cattle,8099,8017," 109,650 "," 1,669,546 "," 2,109,548 ",truck, 73 
cattle,8099,8099," 2,119,977 "," 31,823,146 "," 58,574,070 ",truck, 21 
cattle,8101,8101," 295,240 "," 2,777,395 "," 6,011,956 ",truck, 25 
cattle,8103,31029," 526,367 "," 5,230,874 "," 7,192,849 ",rail, 579 
cattle,8105,46065," 4,031 "," 60,387 "," 11,162 ",rail, 885 
cattle,8109,31029," 468,999 "," 4,660,774 "," 6,408,919 ",rail, 627 
cattle,8115,31049," 343,389 "," 5,849,072 "," 4,452,151 ",truck, 26 
cattle,8121,8125," 2,404,317 "," 21,302,988 "," 43,404,215 ",truck, 48 
cattle,8123,8087," 8,647,839 "," 79,981,144 "," 145,321,258 ",truck, 57 
cattle,8123,8123," 9,953,818 "," 94,933,334 "," 158,309,855 ",truck, 33 
cattle,8125,8125," 12,701,346 "," 112,537,823 "," 229,292,521 ",truck, 25 
cattle,9009,9005, 806 ," 7,044 ", -   ,truck, 34 
cattle,9011,36021," 3,018 "," 13,811 ", -   ,truck, 130 
cattle,9015,36021," 3,278 "," 15,001 ", -   ,truck, 122 
cattle,10001,10003," 91,129 "," 869,239 "," 118,388 ",truck, 50 
cattle,10003,34033," 13,978 "," 126,662 "," 37,651 ",truck, 20 
cattle,10005,24033," 68,673 "," 924,328 "," 3,823 ",truck, 102 
cattle,12121,12121," 131,253 "," 1,217,975 "," 576,287 ",truck, 14 
cattle,16001,16027," 1,125,675 "," 7,732,965 "," 11,234,731 ",truck, 26 
cattle,16011,16011," 141,191 "," 1,031,921 "," 1,499,217 ",truck, 24 
cattle,16013,16025," 42,134 "," 270,085 "," 76,326 ",truck, 45 
cattle,16013,38003," 59,480 "," 551,161 "," 5,263 ",rail," 1,302 "
cattle,16019,38045," 684,311 "," 6,933,149 "," 198,323 ",rail," 1,125 "
cattle,16023,38045," 137,956 "," 1,397,708 "," 39,981 ",rail," 1,211 "
cattle,16027,16027," 1,130,965 "," 7,769,300 "," 11,287,519 ",truck, 13 
cattle,16029,38003," 241,237 "," 2,235,383 "," 21,344 ",rail," 1,230 "
cattle,16031,46013," 4,334,913 "," 32,295,093 "," 705,020 ",rail," 1,242 "
cattle,16035,27119," 6,890 "," 47,375 ", 163 ,rail," 1,544 "
cattle,16037,16045," 270,673 "," 1,965,334 "," 2,855,261 ",truck, 176 
cattle,16039,16001," 1,180,786 "," 8,332,134 "," 12,105,199 ",truck, 57 
cattle,16039,16027," 265,216 "," 1,821,933 "," 2,646,970 ",truck, 80 
cattle,16041,46013," 34,956 "," 260,420 "," 5,685 ",rail," 1,226 "
cattle,16043,46013," 184,551 "," 1,374,901 "," 30,015 ",rail," 1,168 "
cattle,16045,16045," 307,314 "," 2,231,378 "," 3,241,774 ",truck, 12 
cattle,16045,16075," 126,967 "," 1,262,592 "," 3,702,199 ",truck, 35 
cattle,16047,16073," 33,639 "," 250,874 "," 364,486 ",truck, 90 
cattle,16049,16003," 13,780 "," 88,327 "," 24,962 ",truck, 107 
cattle,16051,46013," 654,113 "," 4,873,142 "," 106,383 ",rail," 1,089 "
cattle,16053,16053," 490,795 "," 3,530,707 "," 5,129,702 ",truck, 13 
cattle,16053,16083," 300,775 "," 2,262,063 "," 3,286,443 ",truck, 34 
cattle,16057,38003," 58,663 "," 543,587 "," 5,190 ",rail," 1,280 "
cattle,16057,53075," 7,860 "," 66,721 "," 18,850 ",truck, 46 
cattle,16059,30081," 8,410 "," 211,071 "," 806,334 ",truck, 121 
cattle,16063,38003," 32,220 "," 298,562 "," 2,851 ",rail," 1,258 "
cattle,16065,38003," 33,132 "," 307,012 "," 2,931 ",rail," 1,105 "
cattle,16067,16067," 274,262 "," 1,939,633 "," 2,818,044 ",truck, 14 
cattle,16069,38003," 41,643 "," 385,877 "," 3,684 ",rail," 1,306 "
cattle,16073,16073," 167,889 "," 1,252,103 "," 1,819,138 ",truck, 45 
cattle,16075,16075," 518,616 "," 5,157,265 "," 15,122,248 ",truck, 10 
cattle,16077,16077," 289,929 "," 2,338,178 "," 3,397,093 ",truck, 20 
cattle,16081,16019," 84,531 "," 825,885 "," 2,038,793 ",truck, 82 
cattle,16081,56029," 6,212 "," 62,011 "," 140,611 ",truck, 219 
cattle,16083,16083," 26,850 "," 201,934 "," 293,380 ",truck, 23 
cattle,16085,16003," 7,396 "," 47,411 "," 13,399 ",truck, 50 
cattle,16087,16087," 21,379 "," 210,971 "," 598,314 ",truck, 20 
cattle,17001,17001," 299,622 "," 5,373,450 "," 59,130 ",truck, 15 
cattle,17005,17005," 20,998 "," 1,048,263 ", -   ,truck, 10 
cattle,17007,17007," 66,971 "," 750,066 ", -   ,truck, 9 
cattle,17009,17009," 12,328 "," 206,303 "," 1,612 ",truck, 9 
cattle,17011,17011," 319,188 "," 2,941,244 "," 74,799 ",truck, 15 
cattle,17013,17013," 9,431 "," 145,242 ", -   ,truck, 9 
cattle,17015,17015," 1,539,151 "," 13,092,884 "," 302,717 ",truck, 11 
cattle,17017,17017," 19,805 "," 227,156 "," 37,738 ",truck, 10 
cattle,17019,17183," 466,892 "," 5,782,502 ", -   ,truck, 31 
cattle,17021,17117," 304,712 "," 4,728,824 ", -   ,truck, 49 
cattle,17023,17023," 16,783 "," 433,076 "," 9,725 ",truck, 12 
cattle,17025,17025," 71,187 "," 4,376,303 ", -   ,truck, 11 
cattle,17027,17027," 473,732 "," 15,786,955 "," 71,317 ",truck, 12 
cattle,17029,17029," 17,498 "," 270,308 ", -   ,truck, 12 
cattle,17033,17045," 32,531 "," 466,402 ", -   ,truck, 54 
cattle,17035,17035," 228,912 "," 8,526,129 ", -   ,truck, 10 
cattle,17037,17037," 1,758,360 "," 15,537,687 "," 60,540 ",truck, 13 
cattle,17039,17113," 17,658 "," 209,516 ", 736 ,truck, 35 
cattle,17041,17041," 105,389 "," 1,425,820 ", 27 ,truck, 11 
cattle,17045,17045," 43,746 "," 627,191 ", -   ,truck, 13 
cattle,17047,17191," 11,294 "," 315,461 "," 4,367 ",truck, 24 
cattle,17049,17049," 323,711 "," 12,218,194 "," 74,444 ",truck, 11 
cattle,17049,17051," 701,462 "," 27,004,420 ", 954 ,truck, 30 
cattle,17051,17051," 109,445 "," 4,213,348 ", 149 ,truck, 14 
cattle,17053,17053," 164,565 "," 2,788,817 "," 6,324 ",truck, 11 
cattle,17055,17055," 8,749 "," 384,290 ", -   ,truck, 11 
cattle,17057,17109," 599,244 "," 5,663,866 ", -   ,truck, 31 
cattle,17059,21225," 3,032 "," 46,052 ", 929 ,truck, 28 
cattle,17061,17061," 73,812 "," 901,843 "," 41,013 ",truck, 12 
cattle,17063,17063," 88,686 "," 1,148,980 ", -   ,truck, 11 
cattle,17065,17081," 10,976 "," 380,107 ", -   ,truck, 27 
cattle,17067,17109," 542,692 "," 5,129,355 ", -   ,truck, 31 
cattle,17071,17187," 212,527 "," 2,052,940 "," 47,554 ",truck, 21 
cattle,17073,17011," 942,135 "," 8,681,544 "," 220,782 ",truck, 47 
cattle,17075,17075," 1,026,843 "," 11,295,098 "," 62,762 ",truck, 17 
cattle,17077,17077," 37,224 "," 1,099,614 "," 18,907 ",truck, 13 
cattle,17079,17035," 142,215 "," 5,296,984 ", -   ,truck, 24 
cattle,17081,17081," 86,140 "," 2,983,014 ", -   ,truck, 12 
cattle,17083,17083," 42,474 "," 673,243 ", -   ,truck, 10 
cattle,17085,17085," 725,153 "," 9,895,602 ", -   ,truck, 13 
cattle,17087,17087," 11,779 "," 436,811 ", -   ,truck, 10 
cattle,17089,17089," 211,175 "," 2,006,482 ", -   ,truck, 12 
cattle,17091,17091," 32,849 "," 381,121 "," 9,619 ",truck, 13 
cattle,17093,17093," 16,385 "," 210,727 ", -   ,truck, 9 
cattle,17095,17095," 213,641 "," 1,800,831 ", -   ,truck, 14 
cattle,17097,17097," 3,155 "," 36,393 ", -   ,truck, 19 
cattle,17099,17099," 517,239 "," 4,999,403 "," 53,304 ",truck, 17 
cattle,17101,17159," 19,885 "," 725,837 ", -   ,truck, 22 
cattle,17103,17037," 480,652 "," 4,247,263 "," 16,549 ",truck, 43 
cattle,17105,17105," 74,528 "," 1,174,148 ", -   ,truck, 17 
cattle,17107,17107," 21,794 "," 263,276 "," 1,184 ",truck, 13 
cattle,17109,17109," 128,614 "," 1,215,619 ", -   ,truck, 13 
cattle,17111,17111," 152,316 "," 1,641,092 "," 62,663 ",truck, 13 
cattle,17113,17105," 106,264 "," 1,674,131 ", -   ,truck, 45 
cattle,17115,17167," 104,116 "," 1,102,928 "," 2,429 ",truck, 44 
cattle,17117,17117," 694,213 "," 10,773,473 ", -   ,truck, 15 
cattle,17119,17083," 55,041 "," 872,443 ", -   ,truck, 34 
cattle,17121,17121," 10,340 "," 583,651 ", -   ,truck, 12 
cattle,17123,17099," 107,616 "," 1,040,165 "," 11,090 ",truck, 47 
cattle,17125,17125," 23,623 "," 296,610 "," 105,254 ",truck, 12 
cattle,17127,17127," 14,794 "," 296,545 "," 40,303 ",truck, 8 
cattle,17129,17129," 46,928 "," 619,402 "," 22,831 ",truck, 9 
cattle,17131,17187," 74,448 "," 719,144 "," 16,658 ",truck, 30 
cattle,17133,17133," 29,191 "," 512,928 "," 23,231 ",truck, 10 
cattle,17135,17135," 110,956 "," 1,854,299 ", -   ,truck, 14 
cattle,17137,17137," 502,286 "," 5,914,364 "," 121,318 ",truck, 12 
cattle,17139,17029," 45,735 "," 706,486 ", -   ,truck, 29 
cattle,17141,17037," 1,223,144 "," 10,808,276 "," 42,112 ",truck, 38 
cattle,17143,17123," 30,622 "," 322,711 "," 2,408 ",truck, 36 
cattle,17145,17145," 58,620 "," 3,567,744 ", -   ,truck, 11 
cattle,17147,17019," 1,136 "," 13,477 ", 398 ,truck, 26 
cattle,17149,17149," 22,589 "," 343,309 "," 2,255 ",truck, 15 
cattle,17151,17151," 11,709 "," 262,575 "," 5,386 ",truck, 10 
cattle,17155,17099," 1,999 "," 19,317 ", 206 ,truck, 29 
cattle,17157,17157," 127,819 "," 3,483,381 ", -   ,truck, 13 
cattle,17159,17025," 50,268 "," 3,090,305 ", -   ,truck, 30 
cattle,17161,17011," 82,004 "," 755,650 "," 19,217 ",truck, 60 
cattle,17163,17005," 171,087 "," 8,540,958 ", -   ,truck, 56 
cattle,17165,17199," 48,837 "," 1,925,278 ", -   ,truck, 26 
cattle,17167,17137," 58,779 "," 692,116 "," 14,197 ",truck, 34 
cattle,17169,17169," 30,861 "," 532,904 "," 10,829 ",truck, 11 
cattle,17171,17171," 30,941 "," 362,508 "," 15,884 ",truck, 8 
cattle,17173,17173," 282,044 "," 5,229,150 ", -   ,truck, 14 
cattle,17175,17175," 52,416 "," 509,112 ", -   ,truck, 9 
cattle,17177,17177," 1,031,695 "," 12,660,048 ", -   ,truck, 12 
cattle,17179,17125," 84,709 "," 1,063,602 "," 377,425 ",truck, 49 
cattle,17181,17181," 10,749 "," 199,310 ", -   ,truck, 11 
cattle,17183,17183," 214,118 "," 2,651,873 ", -   ,truck, 16 
cattle,17187,17187," 284,510 "," 2,748,266 "," 63,661 ",truck, 12 
cattle,17189,17189," 363,332 "," 19,405,951 ", -   ,truck, 12 
cattle,17191,17191," 359,276 "," 10,034,776 "," 138,928 ",truck, 14 
cattle,17193,17081," 31,815 "," 1,101,760 ", -   ,truck, 49 
cattle,17195,17011," 985,394 "," 9,080,170 "," 230,920 ",truck, 51 
cattle,17195,17103," 285,871 "," 2,495,689 "," 156,167 ",truck, 33 
cattle,17197,17197," 24,180 "," 279,988 ", -   ,truck, 15 
cattle,17199,17199," 8,255 "," 325,432 ", -   ,truck, 11 
cattle,17201,17007," 274,329 "," 3,072,420 ", -   ,truck, 19 
cattle,17203,17105," 233,048 "," 3,671,561 ", -   ,truck, 41 
cattle,18001,18179," 125,989 "," 1,417,614 ", -   ,truck, 15 
cattle,18003,18003," 88,208 "," 1,135,353 "," 1,247 ",truck, 13 
cattle,18005,18005," 35,633 "," 585,636 "," 45,354 ",truck, 10 
cattle,18007,17075," 77,915 "," 857,054 "," 4,762 ",truck, 40 
cattle,18009,18009," 31,100 "," 361,968 ", -   ,truck, 7 
cattle,18011,18011," 57,984 "," 805,902 ", -   ,truck, 11 
cattle,18015,18015," 117,638 "," 1,381,180 ", -   ,truck, 10 
cattle,18017,18049," 40,565 "," 466,905 "," 57,596 ",truck, 25 
cattle,18019,18077," 87,441 "," 1,368,764 ", -   ,truck, 38 
cattle,18021,18167," 25,214 "," 488,733 "," 4,686 ",truck, 20 
cattle,18027,18083," 218,174 "," 3,693,954 "," 340,680 ",truck, 23 
cattle,18029,18029," 19,328 "," 297,285 ", -   ,truck, 9 
cattle,18031,18031," 285,782 "," 4,780,992 ", -   ,truck, 10 
cattle,18033,18033," 195,426 "," 2,978,339 "," 14,922 ",truck, 10 
cattle,18037,18037," 363,889 "," 8,068,891 ", -   ,truck, 11 
cattle,18039,18039," 361,423 "," 4,616,551 "," 882,069 ",truck, 11 
cattle,18041,18139," 28,332 "," 492,585 ", -   ,truck, 18 
cattle,18045,17183," 14,158 "," 175,347 ", -   ,truck, 32 
cattle,18047,18029," 110,400 "," 1,698,072 ", -   ,truck, 32 
cattle,18049,18099," 60,290 "," 783,041 "," 56,906 ",truck, 20 
cattle,18051,18051," 60,763 "," 1,163,716 "," 20,404 ",truck, 12 
cattle,18053,18067," 7,954 "," 72,973 ", -   ,truck, 30 
cattle,18055,18153," 38,576 "," 837,483 "," 26,664 ",truck, 24 
cattle,18057,18057," 14,237 "," 164,434 "," 4,851 ",truck, 10 
cattle,18059,18145," 22,342 "," 450,600 "," 6,931 ",truck, 22 
cattle,18061,21211," 9,545 "," 129,769 ", -   ,truck, 62 
cattle,18063,18063," 5,965 "," 128,286 ", -   ,truck, 10 
cattle,18065,18065," 169,974 "," 2,647,974 ", -   ,truck, 10 
cattle,18067,18067," 11,294 "," 103,621 ", -   ,truck, 9 
cattle,18069,18069," 18,612 "," 225,796 ", 859 ,truck, 10 
cattle,18071,18005," 150,487 "," 2,473,267 "," 191,540 ",truck, 28 
cattle,18073,18073," 149,692 "," 1,608,260 "," 93,007 ",truck, 12 
cattle,18075,18001," 295,645 "," 3,865,297 ", 474 ,truck, 26 
cattle,18077,18137," 8,988 "," 114,725 ", -   ,truck, 34 
cattle,18079,18079," 106,741 "," 1,534,329 ", -   ,truck, 10 
cattle,18081,18081," 53,689 "," 1,201,832 "," 20,033 ",truck, 9 
cattle,18083,17101," 42,633 "," 926,732 "," 73,045 ",truck, 21 
cattle,18085,18085," 241,320 "," 3,335,455 "," 231,501 ",truck, 12 
cattle,18087,18087," 134,818 "," 2,079,886 "," 415,747 ",truck, 10 
cattle,18089,18091," 15,368 "," 156,599 "," 31,697 ",truck, 40 
cattle,18091,18091," 140,067 "," 1,427,238 "," 288,889 ",truck, 13 
cattle,18093,18105," 19,885 "," 434,906 ", -   ,truck, 28 
cattle,18095,18159," 20,839 "," 179,578 "," 1,275 ",truck, 35 
cattle,18099,18099," 64,506 "," 837,792 "," 60,885 ",truck, 11 
cattle,18101,18101," 49,553 "," 1,207,854 ", -   ,truck, 10 
cattle,18103,18103," 64,188 "," 779,082 "," 15,403 ",truck, 10 
cattle,18105,18105," 47,319 "," 1,034,938 ", -   ,truck, 10 
cattle,18107,17183," 41,483 "," 513,774 ", -   ,truck, 51 
cattle,18109,18109," 40,644 "," 884,010 ", -   ,truck, 10 
cattle,18111,18111," 7,318 "," 76,228 "," 2,129 ",truck, 10 
cattle,18113,18087," 126,466 "," 1,951,044 "," 389,992 ",truck, 22 
cattle,18117,18093," 25,930 "," 725,956 ", -   ,truck, 26 
cattle,18119,18119," 12,010 "," 295,040 ", -   ,truck, 10 
cattle,18121,18165," 50,825 "," 914,776 ", -   ,truck, 13 
cattle,18123,21059," 15,192 "," 202,897 "," 13,126 ",truck, 42 
cattle,18125,18051," 5,011 "," 95,967 "," 1,683 ",truck, 29 
cattle,18127,18091," 18,294 "," 186,408 "," 37,731 ",truck, 21 
cattle,18129,17185," 7,318 "," 190,472 "," 2,352 ",truck, 49 
cattle,18131,18131," 44,621 "," 535,432 "," 37,414 ",truck, 11 
cattle,18133,18063," 6,840 "," 147,101 ", -   ,truck, 33 
cattle,18135,18135," 40,087 "," 613,092 ", -   ,truck, 11 
cattle,18137,18137," 86,538 "," 1,104,606 ", -   ,truck, 11 
cattle,18139,18031," 343,686 "," 5,749,699 ", -   ,truck, 26 
cattle,18141,18141," 40,565 "," 418,518 "," 78,474 ",truck, 11 
cattle,18145,18145," 23,305 "," 470,014 "," 7,230 ",truck, 11 
cattle,18147,21059," 65,619 "," 876,390 "," 56,696 ",truck, 27 
cattle,18149,18149," 34,202 "," 475,135 "," 81,621 ",truck, 9 
cattle,18151,18151," 84,152 "," 1,308,083 "," 40,057 ",truck, 9 
cattle,18153,18153," 24,498 "," 531,857 "," 16,934 ",truck, 11 
cattle,18157,18171," 23,225 "," 281,656 "," 3,914 ",truck, 34 
cattle,18159,18159," 12,412 "," 106,955 ", 759 ,truck, 8 
cattle,18161,18029," 29,588 "," 455,103 ", -   ,truck, 44 
cattle,18163,18173," 8,366 "," 212,436 ", -   ,truck, 17 
cattle,18167,18167," 4,136 "," 80,171 ", 769 ,truck, 10 
cattle,18169,18069," 59,097 "," 716,952 "," 2,727 ",truck, 25 
cattle,18171,17183," 9,545 "," 118,211 ", -   ,truck, 35 
cattle,18173,18173," 11,851 "," 300,949 ", -   ,truck, 10 
cattle,18175,18005," 115,570 "," 1,899,396 "," 147,097 ",truck, 60 
cattle,18177,18139," 65,937 "," 1,146,402 ", -   ,truck, 42 
cattle,18179,18179," 65,699 "," 739,236 ", -   ,truck, 10 
cattle,18181,18181," 110,725 "," 1,390,255 "," 19,828 ",truck, 12 
cattle,18183,18183," 84,947 "," 1,161,709 ", -   ,truck, 10 
cattle,19001,19001," 502,604 "," 5,174,324 ", -   ,truck, 12 
cattle,19003,19137," 354,106 "," 3,064,578 ", -   ,truck, 28 
cattle,19005,27055," 912,626 "," 4,879,022 ", -   ,truck, 43 
cattle,19007,19185," 173,633 "," 3,574,603 ", -   ,truck, 27 
cattle,19009,19029," 1,334,737 "," 12,541,759 "," 35,816 ",truck, 26 
cattle,19011,19011," 926,625 "," 7,507,406 ", -   ,truck, 14 
cattle,19013,19017," 330,562 "," 2,763,448 ", -   ,truck, 20 
cattle,19015,19015," 578,325 "," 4,220,844 ", -   ,truck, 12 
cattle,19017,19037," 513,183 "," 4,422,921 "," 2,522 ",truck, 21 
cattle,19019,19065," 926,863 "," 6,982,325 "," 2,697 ",truck, 37 
cattle,19021,19161," 1,018,810 "," 8,745,496 "," 8,358 ",truck, 27 
cattle,19023,19075," 718,472 "," 4,535,950 ", -   ,truck, 27 
cattle,19025,19161," 813,680 "," 6,984,653 "," 6,675 ",truck, 29 
cattle,19027,19009," 1,692,739 "," 15,978,835 ", -   ,truck, 30 
cattle,19027,19029," 1,627,709 "," 15,294,644 "," 43,677 ",truck, 55 
cattle,19027,19047," 1,131,486 "," 10,308,399 "," 42,809 ",truck, 32 
cattle,19029,19029," 1,542,890 "," 14,497,648 "," 41,401 ",truck, 12 
cattle,19031,19031," 572,121 "," 4,144,964 "," 6,202 ",truck, 12 
cattle,19033,19189," 284,987 "," 2,068,196 ", -   ,truck, 45 
cattle,19035,19021," 1,800,356 "," 12,984,780 "," 39,663 ",truck, 28 
cattle,19037,19089," 1,958,558 "," 16,347,707 "," 5,494 ",truck, 23 
cattle,19039,19039," 126,228 "," 1,717,351 ", -   ,truck, 11 
cattle,19041,19041," 1,392,562 "," 9,385,825 ", -   ,truck, 12 
cattle,19043,55023," 1,288,048 "," 8,553,886 "," 3,168 ",truck, 43 
cattle,19045,17195," 2,810,416 "," 25,683,772 "," 3,121,743 ",truck, 33 
cattle,19047,19165," 1,274,924 "," 10,026,029 ", -   ,truck, 26 
cattle,19049,19121," 451,381 "," 4,640,811 ", -   ,truck, 25 
cattle,19051,19051," 91,231 "," 2,272,811 ", -   ,truck, 12 
cattle,19053,19053," 751,878 "," 12,231,966 ", -   ,truck, 12 
cattle,19055,19043," 3,626,323 "," 25,727,067 ", -   ,truck, 47 
cattle,19057,17071," 138,225 "," 1,137,953 "," 77,998 ",truck, 16 
cattle,19059,19063," 1,106,939 "," 7,675,721 "," 13,556 ",truck, 28 
cattle,19061,55043," 838,744 "," 6,618,658 ", -   ,truck, 42 
cattle,19061,55065," 3,745,462 "," 32,995,898 ", -   ,truck, 47 
