Demand category,Demand FIPS,Corn FIPS, Corn (bu) , GHG (kg CO2e) , Irrigation (m3) ,Transport mode, Distance (miles) 
ethanol,19113,19095," 18,689,663 "," 154,395,321 ", -   ,truck, 48 
ethanol,19113,19097," 6,093,468 "," 54,485,256 ", -   ,truck, 67 
ethanol,19113,19103," 17,114,678 "," 151,811,278 ", -   ,truck, 31 
ethanol,19113,19105," 20,476,116 "," 179,167,920 ", -   ,truck, 31 
ethanol,19113,19127," 15,586,914 "," 101,994,835 ", -   ,truck, 81 
ethanol,19113,19171," 26,878,795 "," 180,356,105 ", -   ,truck, 62 
ethanol,19113,19183," 5,400,675 "," 44,851,951 ", -   ,truck, 58 
ethanol,19123,19099," 5,030,743 "," 36,401,601 "," 152,423 ",truck, 48 
ethanol,19123,19107," 7,560,589 "," 72,226,171 ", -   ,truck, 28 
ethanol,19131,19131," 1,061,815 "," 9,713,919 "," 42,799 ",truck, 11 
ethanol,19131,27039," 2,902,401 "," 14,806,413 ", -   ,truck, 59 
ethanol,19131,27099," 34,599,949 "," 201,655,449 "," 1,535,390 ",truck, 36 
ethanol,19139,17131," 4,077,166 "," 31,796,119 "," 1,009,462 ",truck, 58 
ethanol,19139,19057," 3,117,881 "," 23,710,040 "," 992,820 ",truck, 48 
ethanol,19141,19141," 19,719,185 "," 129,729,171 "," 366,254 ",truck, 12 
ethanol,19141,19143," 17,168,277 "," 116,215,388 "," 1,022,594 ",truck, 23 
ethanol,19143,27101," 11,240,614 "," 75,817,505 ", -   ,truck, 52 
ethanol,19143,27105," 7,538,458 "," 45,153,217 ", -   ,truck, 29 
ethanol,19147,19147," 18,443,731 "," 122,824,755 "," 2,058,322 ",truck, 12 
ethanol,19149,19193," 6,944,293 "," 64,276,070 "," 1,218,375 ",truck, 32 
ethanol,19149,46127," 9,822,735 "," 119,919,663 "," 28,187,911 ",truck, 33 
ethanol,19155,19129," 4,193,090 "," 36,909,565 ", -   ,truck, 35 
ethanol,19155,19155," 32,694,372 "," 295,880,829 "," 3,066,924 ",truck, 16 
ethanol,19167,19149," 8,563,303 "," 91,444,152 "," 557,279 ",truck, 23 
ethanol,19167,19167," 11,557,131 "," 88,508,732 "," 2,130,139 ",truck, 14 
ethanol,19169,19015," 5,060,282 "," 36,931,932 ", -   ,truck, 23 
ethanol,19169,19153," 13,383,449 "," 101,473,083 ", -   ,truck, 33 
ethanol,19187,19025," 2,581,570 "," 22,304,518 ", -   ,truck, 25 
ethanol,19187,19091," 18,341,282 "," 137,282,513 ", -   ,truck, 25 
ethanol,19187,19109," 19,263,461 "," 130,030,368 "," 88,513 ",truck, 53 
ethanol,19187,19151," 26,094,480 "," 170,471,962 "," 345,378 ",truck, 45 
ethanol,19187,19187," 35,116,686 "," 262,278,844 ", -   ,truck, 14 
ethanol,19195,19195," 15,979,153 "," 124,676,943 "," 815,122 ",truck, 10 
ethanol,19195,27047," 2,799,919 "," 16,149,580 "," 117,950 ",truck, 28 
ethanol,19197,19081," 14,465,523 "," 118,604,052 "," 390,454 ",truck, 40 
ethanol,19197,19197," 5,654,911 "," 41,561,160 ", -   ,truck, 12 
ethanol,20003,20001," 613,578 "," 17,134,604 ", -   ,truck, 30 
ethanol,20003,20003," 1,760,840 "," 64,333,360 "," 1,353,080 ",truck, 12 
ethanol,20003,20031," 445,361 "," 15,447,417 "," 443,872 ",truck, 45 
ethanol,20003,20045," 1,483,519 "," 35,791,868 "," 3,046,216 ",truck, 56 
ethanol,20003,20059," 1,598,843 "," 35,021,082 "," 2,145,562 ",truck, 28 
ethanol,20003,20085," 858,456 "," 20,274,205 "," 333,676 ",truck, 114 
ethanol,20003,20087," 183,478 "," 3,944,982 "," 334,628 ",truck, 87 
ethanol,20003,20107," 537,248 "," 14,735,718 ", -   ,truck, 46 
ethanol,20003,20121," 1,435,468 "," 33,823,155 "," 707,302 ",truck, 37 
ethanol,20003,20139," 1,185,970 "," 56,761,662 ", -   ,truck, 61 
ethanol,20003,20177," 2,203,478 "," 30,955,546 "," 11,866,959 ",truck, 85 
ethanol,20003,20205," 486,162 "," 7,353,827 "," 220,412 ",truck, 70 
ethanol,20003,20207," 1,291,903 "," 32,724,519 ", -   ,truck, 46 
ethanol,20055,20055," 5,388,043 "," 57,582,019 "," 107,502,087 ",truck, 19 
ethanol,20055,20171," 394,889 "," 7,469,880 "," 8,094,752 ",truck, 36 
ethanol,20055,31169," 5,450,976 "," 46,162,834 "," 37,666,801 ",rail, 415 
ethanol,20063,20039," 1,230,674 "," 43,438,408 "," 10,222,509 ",truck, 75 
ethanol,20063,20063," 1,264,091 "," 36,192,592 "," 15,539,411 ",truck, 17 
ethanol,20063,20137," 2,216,544 "," 62,808,822 "," 16,913,232 ",truck, 85 
ethanol,20063,20153," 350,883 "," 10,139,264 "," 4,386,732 ",truck, 79 
ethanol,20063,20179," 7,133,308 "," 125,119,050 "," 109,868,280 ",truck, 29 
ethanol,20063,20193," 1,793,116 "," 33,592,105 "," 26,152,792 ",truck, 48 
ethanol,20063,31145," 1,101,708 "," 15,837,318 "," 11,728,533 ",truck, 100 
ethanol,20147,31061," 720,212 "," 6,608,601 "," 7,278,726 ",truck, 51 
ethanol,20147,31083," 12,693,410 "," 131,900,136 "," 129,661,258 ",truck, 34 
ethanol,20151,20047," 509,641 "," 4,560,077 "," 7,418,339 ",truck, 56 
ethanol,20151,20095," 1,059,183 "," 12,697,423 "," 17,412,152 ",truck, 39 
ethanol,20151,20097," 2,566,397 "," 24,748,232 "," 44,795,826 ",truck, 32 
ethanol,20151,20151," 7,991,615 "," 84,576,742 "," 137,330,464 ",truck, 14 
ethanol,20151,20185," 6,316,895 "," 82,176,048 "," 101,098,604 ",truck, 29 
ethanol,20157,20157," 3,353,406 "," 38,888,990 "," 22,581,243 ",truck, 14 
ethanol,20159,20027," 1,692,143 "," 19,569,738 "," 13,831,613 ",truck, 124 
ethanol,20159,20029," 1,840,571 "," 24,163,422 "," 13,123,080 ",truck, 110 
ethanol,20159,20053," 66,893 "," 2,652,631 "," 394,665 ",truck, 27 
ethanol,20159,20089," 736,368 "," 9,473,648 "," 5,671,804 ",truck, 110 
ethanol,20159,20113," 4,191,136 "," 50,139,923 "," 40,970,724 ",truck, 32 
ethanol,20159,20123," 1,183,275 "," 19,595,725 "," 9,261,254 ",truck, 87 
ethanol,20159,20155," 1,567,195 "," 19,689,839 "," 23,183,367 ",truck, 36 
ethanol,20159,20157," 590,327 "," 6,845,942 "," 3,975,158 ",truck, 132 
ethanol,20159,20159," 2,921,165 "," 39,174,050 "," 33,527,184 ",truck, 14 
ethanol,20159,31129," 5,331,362 "," 53,160,580 "," 31,232,242 ",truck, 139 
ethanol,20173,20015," 1,287,114 "," 21,159,440 "," 1,276,856 ",truck, 28 
ethanol,20173,20079," 1,853,184 "," 24,967,873 "," 16,879,559 ",truck, 33 
ethanol,20173,20173," 4,253,742 "," 49,063,627 "," 47,623,484 ",truck, 16 
ethanol,20173,20191," 342,747 "," 7,151,192 "," 2,642,225 ",truck, 39 
ethanol,20175,20119," 10,652,915 "," 87,519,785 "," 171,198,463 ",truck, 37 
ethanol,20175,20129," 1,131,261 "," 11,777,228 "," 21,734,701 ",truck, 58 
ethanol,20175,20175," 8,968,467 "," 79,250,575 "," 152,928,363 ",truck, 13 
ethanol,20175,20189," 16,134,819 "," 173,401,034 "," 328,509,254 ",truck, 35 
ethanol,20203,20181," 503,011 "," 6,637,121 "," 9,189,267 ",truck, 86 
ethanol,21047,21047," 5,700,921 "," 110,995,482 "," 816,642 ",truck, 14 
ethanol,21047,21219," 3,774,778 "," 58,238,755 ", -   ,truck, 18 
ethanol,21047,21221," 1,590,540 "," 33,736,070 ", -   ,truck, 29 
ethanol,26025,26023," 7,470,578 "," 67,432,556 "," 19,794,738 ",truck, 33 
ethanol,26025,26025," 4,947,206 "," 57,202,606 "," 4,933,256 ",truck, 14 
ethanol,26025,26077," 6,025,946 "," 56,897,175 "," 26,582,607 ",truck, 30 
ethanol,26067,26015," 895,310 "," 8,676,121 "," 430,928 ",truck, 38 
ethanol,26067,26067," 10,126,178 "," 74,296,063 "," 2,893,689 ",truck, 12 
ethanol,26067,26117," 7,422,243 "," 58,904,164 "," 15,696,527 ",truck, 37 
ethanol,26091,26075," 2,584,090 "," 32,638,602 "," 1,377,123 ",truck, 34 
ethanol,26091,26091," 9,852,367 "," 104,096,011 "," 2,334,875 ",truck, 14 
ethanol,26091,39051," 7,683,977 "," 74,709,104 ", -   ,truck, 31 
ethanol,26147,26087," 5,271,897 "," 36,949,763 "," 218,498 ",truck, 41 
ethanol,26147,26099," 2,091,058 "," 14,240,741 "," 196,500 ",truck, 34 
ethanol,26147,26147," 6,094,725 "," 42,797,837 ", -   ,truck, 15 
ethanol,26147,26151," 3,309,348 "," 22,421,782 "," 47,845 ",truck, 46 
ethanol,26157,26017," 3,107,387 "," 20,745,043 "," 637,256 ",truck, 34 
ethanol,26157,26157," 14,665,663 "," 98,017,808 "," 2,353,940 ",truck, 16 
ethanol,27013,27013," 18,143,716 "," 98,692,875 "," 534,232 ",truck, 14 
ethanol,27013,27103," 635,356 "," 3,839,267 ", -   ,truck, 26 
ethanol,27023,27023," 17,437,709 "," 89,259,035 "," 2,347,470 ",truck, 13 
ethanol,27033,27033," 11,736,920 "," 69,359,280 "," 536,190 ",truck, 13 
ethanol,27039,27039," 15,090,325 "," 76,982,328 ", -   ,truck, 11 
ethanol,27043,27043," 16,431,688 "," 84,873,631 ", -   ,truck, 14 
ethanol,27045,27045," 15,425,666 "," 88,988,085 "," 6,491 ",truck, 15 
ethanol,27047,27047," 8,419,583 "," 48,563,098 "," 354,686 ",truck, 14 
ethanol,27047,27147," 5,664,721 "," 28,855,827 "," 101,205 ",truck, 30 
ethanol,27063,27033," 1,636,343 "," 9,669,960 "," 74,755 ",truck, 28 
ethanol,27063,27063," 15,130,686 "," 88,391,246 ", -   ,truck, 14 
ethanol,27067,27067," 16,767,028 "," 88,627,180 "," 7,735,917 ",truck, 15 
ethanol,27083,27081," 8,319,357 "," 53,157,419 ", -   ,truck, 30 
ethanol,27083,27083," 12,841,236 "," 78,665,558 ", -   ,truck, 14 
ethanol,27083,27173," 26,437,407 "," 163,317,584 ", -   ,truck, 24 
ethanol,27091,27013," 1,080,766 "," 5,878,833 "," 31,823 ",truck, 55 
ethanol,27091,27015," 14,680,734 "," 84,490,033 "," 784,982 ",truck, 58 
ethanol,27091,27043," 14,990,278 "," 77,428,404 ", -   ,truck, 31 
ethanol,27091,27091," 40,220,438 "," 230,621,055 "," 301,484 ",truck, 14 
ethanol,27091,27165," 4,479,411 "," 23,881,767 "," 573,106 ",truck, 35 
ethanol,27097,27009," 461,502 "," 3,452,927 "," 258,832 ",truck, 35 
ethanol,27097,27097," 6,748,320 "," 45,964,584 "," 5,290,805 ",truck, 18 
ethanol,27111,27111," 20,120,434 "," 132,851,911 "," 17,908,129 ",truck, 24 
ethanol,27127,27127," 18,443,731 "," 103,980,796 ", -   ,truck, 15 
ethanol,27133,27105," 111,239 "," 666,288 ", -   ,truck, 30 
ethanol,27133,27117," 4,037,781 "," 26,566,733 "," 983,887 ",truck, 29 
ethanol,27133,27133," 2,893,132 "," 17,301,688 "," 304,416 ",truck, 11 
ethanol,27143,27085," 227,987 "," 1,206,454 ", -   ,truck, 25 
ethanol,27143,27103," 7,799,353 "," 47,129,173 ", -   ,truck, 22 
ethanol,27143,27143," 25,506,717 "," 142,362,333 "," 14,120 ",truck, 13 
ethanol,27149,27149," 8,048,174 "," 39,400,948 "," 4,185,876 ",truck, 12 
ethanol,27151,27151," 15,090,325 "," 82,004,449 "," 9,735,464 ",truck, 14 
ethanol,27161,27079," 10,170,904 "," 59,772,557 ", -   ,truck, 40 
ethanol,27161,27147," 6,092,823 "," 31,036,559 "," 108,854 ",truck, 28 
ethanol,27161,27161," 20,623,736 "," 110,613,635 "," 4,633 ",truck, 11 
ethanol,29007,17149," 10,058,250 "," 152,866,076 "," 1,004,037 ",truck, 73 
ethanol,29007,29007," 1,447,979 "," 44,938,298 "," 3,896,864 ",truck, 14 
ethanol,29007,29163," 3,429,765 "," 83,332,741 "," 2,432,524 ",truck, 49 
ethanol,29007,29173," 1,831,034 "," 62,664,989 "," 963,607 ",truck, 41 
ethanol,29021,20013," 2,437,487 "," 25,679,889 "," 1,154,386 ",truck, 46 
ethanol,29021,20043," 7,613,900 "," 73,911,971 "," 1,409,210 ",truck, 19 
ethanol,29021,29003," 1,425,188 "," 22,162,222 ", -   ,truck, 21 
ethanol,29021,29087," 5,290,454 "," 50,070,921 "," 8,092,365 ",truck, 37 
ethanol,29033,29033," 7,879,287 "," 97,689,235 "," 2,458,543 ",truck, 14 
ethanol,29033,29061," 1,786,115 "," 42,804,710 ", -   ,truck, 72 
ethanol,29033,29063," 887,570 "," 17,447,345 ", -   ,truck, 87 
ethanol,29033,29107," 4,752,686 "," 63,396,200 "," 680,741 ",truck, 40 
